generating_rate,sampling_rate,sampling_strategy,sampling_size,dtar_true,var_asymptotic,ctar_hat,dtar_true_hat,bias,converged,status_code
24,672,equal,100,0.05,0.25,-21.943306165824577,0.4567178357934836,0.4067178357934836,0,5
24,672,equal,100,0.05,0.25,-2.676139658567251,0.9088489080588495,0.8588489080588495,1,0
24,672,equal,100,0.05,0.25,-3.651925113677337,0.8777215324104216,0.8277215324104216,1,0
24,672,equal,100,0.05,0.25,-2.0105354263532105,0.9307125190555425,0.8807125190555425,1,0
24,672,equal,100,0.05,0.25,-6.300408142263692,0.798504579265026,0.748504579265026,1,0
24,672,equal,100,0.05,0.25,-19.333478655670742,0.5013346782023077,0.4513346782023077,1,0
24,672,equal,100,0.05,0.25,-21.481123175349854,0.4643192286435176,0.4143192286435176,0,5
24,672,equal,100,0.05,0.25,-28.751737027426334,0.35813411100699705,0.30813411100699706,1,0
24,672,equal,100,0.05,0.25,-17.7664952934146,0.5301911436538294,0.48019114365382937,1,0
24,672,equal,100,0.05,0.25,-20.119735213319384,0.487452722904569,0.437452722904569,0,5
24,672,equal,100,0.05,0.25,-3.151210989991389,0.8935587001784089,0.8435587001784088,1,0
24,672,equal,100,0.05,0.25,-2.083374429247473,0.9282945165112133,0.8782945165112133,1,0
24,672,equal,100,0.05,0.25,-1.3327766803165144,0.9535159109846345,0.9035159109846345,1,0
24,672,equal,100,0.05,0.25,-23.39573608894007,0.4336307111025194,0.3836307111025194,1,0
24,672,equal,100,0.05,0.25,-23.88001368040747,0.4261952810862346,0.3761952810862346,0,5
24,672,equal,100,0.05,0.25,-22.80655918877546,0.44285185806913374,0.39285185806913375,1,0
24,672,equal,100,0.05,0.25,-3.1734291258918668,0.8928499382530544,0.8428499382530543,1,0
24,672,equal,100,0.05,0.25,-20.97814826715604,0.47273534047374083,0.42273534047374084,1,0
24,672,equal,100,0.05,0.25,-2.323973043049117,0.9203520332870038,0.8703520332870037,1,0
24,672,equal,100,0.05,0.25,-1.9577380327496932,0.9324691459586768,0.8824691459586768,1,0
24,672,equal,100,0.05,0.25,-23.26359033044046,0.43568206436793483,0.38568206436793484,0,5
24,672,equal,100,0.05,0.25,-2.109124199784975,0.9274412171192226,0.8774412171192225,1,0
24,672,equal,100,0.05,0.25,-1.6502546405379335,0.9427655339235923,0.8927655339235923,1,0
24,672,equal,100,0.05,0.25,-23.77747565087488,0.42775890039379083,0.37775890039379084,0,5
24,672,equal,100,0.05,0.25,-23.90850644790777,0.4257618058522407,0.3757618058522407,0,5
24,672,equal,100,0.05,0.25,-21.758053149302206,0.4597495810469869,0.4097495810469869,1,0
24,672,equal,100,0.05,0.25,-3.13375270018992,0.8941160170046989,0.8441160170046988,1,0
24,672,equal,100,0.05,0.25,-31.400436725612266,0.32580893161741503,0.27580893161741504,0,5
24,672,equal,100,0.05,0.25,-2.039781352833575,0.929740899788383,0.879740899788383,1,0
24,672,equal,100,0.05,0.25,-3.7225864681400864,0.8755092895743761,0.8255092895743761,1,0
24,672,equal,100,0.05,0.25,-26.735733500951063,0.38487078475797026,0.3348707847579703,1,0
24,672,equal,100,0.05,0.25,-24.17081343928807,0.4217918482960603,0.3717918482960603,1,0
24,672,equal,100,0.05,0.25,-1.749229798422854,0.9394389037911153,0.8894389037911152,1,0
24,672,equal,100,0.05,0.25,-91.59447172868467,0.037959664893374045,-0.012040335106625957,0,5
24,672,equal,100,0.05,0.25,-2.713378843323231,0.9076409689130462,0.8576409689130462,1,0
24,672,equal,100,0.05,0.25,-23.46106513602602,0.4326201518571227,0.3826201518571227,0,5
24,672,equal,100,0.05,0.25,-2.575992344332668,0.9121053989298958,0.8621053989298958,1,0
24,672,equal,100,0.05,0.25,-3.195992136089345,0.8921307501227905,0.8421307501227905,1,0
24,672,equal,100,0.05,0.25,-2.2048859843144113,0.9242747269334989,0.8742747269334988,1,0
24,672,equal,100,0.05,0.25,-2.822006261200196,0.9041265514008876,0.8541265514008876,1,0
24,672,equal,100,0.05,0.25,-21.232506952345858,0.46846034670303427,0.4184603467030343,1,0
24,672,equal,100,0.05,0.25,-4.120761843969348,0.8631471730705861,0.813147173070586,1,0
24,672,equal,100,0.05,0.25,-22.28018490551995,0.45125581207073046,0.40125581207073047,0,5
24,672,equal,100,0.05,0.25,-21.283316877352775,0.46761103057037384,0.41761103057037385,0,5
24,672,equal,100,0.05,0.25,-2.208084487689217,0.9241691509696564,0.8741691509696563,1,0
24,672,equal,100,0.05,0.25,-3.236486803671104,0.8908414491597043,0.8408414491597043,1,0
24,672,equal,100,0.05,0.25,-21.46850627523549,0.4645284996937246,0.41452849969372463,1,0
24,672,equal,100,0.05,0.25,-22.581182483818772,0.4464308316456417,0.3964308316456417,0,5
24,672,equal,100,0.05,0.25,-20.97453527988221,0.47279634393692005,0.42279634393692006,1,0
